sat1,sat2,distance_km,rel_velocity,approach_rate,collision
IRIDIUM 33 DEB,COSMOS 2251,9222.643,1.981,1.197,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,10233.212,10.29,-4.483,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,4913.068,14.418,-10.752,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,8785.021,11.12,8.789,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,8010.288,7.046,-6.402,0
IRIDIUM 33,COSMOS 2251 DEB,8434.849,10.43,2.122,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,2605.799,6.935,-5.955,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12657.499,13.184,-0.071,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,7807.927,11.841,-7.361,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13105.701,4.843,-4.795,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,7118.068,2.116,-0.024,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,10026.65,10.226,-8.825,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,10995.746,12.558,-6.489,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,11038.997,7.777,0.38,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,10767.601,13.621,1.883,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,4200.147,13.626,13.476,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,2130.308,6.013,3.89,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12187.218,10.284,-2.815,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,9631.317,7.525,-6.195,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12460.06,14.145,-2.441,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,10089.878,10.213,9.336,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,14135.306,12.706,-0.739,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,8013.368,11.347,-6.458,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12711.234,10.035,-0.781,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,35.27296215736191,13.767656367617494,-12.800917479243147,1
IRIDIUM 33 DEB,COSMOS 2251 DEB,9069.495,6.588,6.541,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,9969.509,14.247,-4.39,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,9356.035,10.833,-1.196,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13.268110571900202,14.293759891275858,-18.46235408013981,1
IRIDIUM 33 DEB,COSMOS 2251 DEB,11022.633,4.909,4.838,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,11020.091,12.158,0.906,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13729.015,1.046,-0.969,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,9.073492560545752,6.780359668697514,-6.975912418874293,1
IRIDIUM 33 DEB,COSMOS 2251 DEB,48.07893290928375,6.552402459307125,-9.262625529768671,1
IRIDIUM 33 DEB,COSMOS 2251 DEB,12275.405,13.184,0.324,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12641.712,13.13,-0.38,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,4408.456,5.715,0.076,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13112.018,11.13,-4.194,0
